,RECORD_TYPE,DATA_SOURCE,RECORD_ID,Loan_Range,BUSINESS_NAME_ORG,BUSINESS_ADDR_LINE1,BUSINESS_ADDR_CITY,BUSINESS_ADDR_STATE,BUSINESS_ADDR_POSTAL_CODE,NAICS_Code,Business_Type,OwnedByRaceEthnicity,OwnedBy,OwnedByVeteran,NonProfit,JobsReported,DateApproved,Lender,CD
272,ORGANIZATION,PPP_LOANS,7684,c $1-2 million,"GAMING ARTS, LLC",323 ORVILLE WRIGHT CT,LAS VEGAS,NV,89119,713290.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,67.0,04/09/2020,"Zions Bank, A Division of",NV-01
2350,ORGANIZATION,PPP_LOANS,12529,"e $150,000-350,000",JANG & JIN INC,5818 Spring Mountain Rd 214,LAS VEGAS,NV,89146,999990.0,Corporation,Unanswered,Male Owned,Non-Veteran,,22.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-01
370,ORGANIZATION,PPP_LOANS,7788,c $1-2 million,PROCARE HOSPICE OF NEVADA LLC,7469 W. Lake Mead Blvd #200,LAS VEGAS,NV,89128,621610.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,93.0,04/15/2020,"Zions Bank, A Division of",NV-01
3160,ORGANIZATION,PPP_LOANS,15879,"e $150,000-350,000","STERLING PLUMBING & HEATING OF NEVADA INC OF NV, INC.",6003 McLeod Drive,LAS VEGAS,NV,89120,238220.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16.0,04/15/2020,"Zions Bank, A Division of",NV-03
2840,ORGANIZATION,PPP_LOANS,15224,"e $150,000-350,000",PJ ENTERTAINMENT INC.,4480 PARADISE RD STE 600,LAS VEGAS,NV,89169,721110.0,Corporation,Unanswered,Unanswered,Unanswered,,33.0,05/01/2020,"Bank of America, National Association",NV-01
1712,ORGANIZATION,PPP_LOANS,11288,"e $150,000-350,000","BIOMETRICA SYSTEMS, INC.","7251 West Lake Mead Blvd, Suite 300, Las Vegas, NV, 89128",Las Vegas,NV,89128,511210.0,Corporation,Unanswered,Unanswered,Unanswered,,8.0,04/15/2020,Silicon Valley Bank,NV-01
578,ORGANIZATION,PPP_LOANS,8161,"d $350,000-1 million",BROADACRES OPEN AIRMARKETPLACE LLC,2930 N Las Vegas Blvd,NORTH LAS VEGAS,NV,89030,454390.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,103.0,04/10/2020,"Zions Bank, A Division of",NV-01
2510,ORGANIZATION,PPP_LOANS,12896,"e $150,000-350,000",LIMITLESS USA INC,3950 PONDEROSA WAY,LAS VEGAS,NV,89118,423690.0,Corporation,Unanswered,Unanswered,Unanswered,,65.0,05/03/2020,"U.S. Bank, National Association",NV-03
31,ORGANIZATION,PPP_LOANS,7162,"e $150,000-350,000","LAS VEGAS VIII, CORP",6015 GARFIELD ST,HOLLYWOOD,FL,33024,722511.0,Corporation,Hispanic,Unanswered,Unanswered,,26.0,04/11/2020,U.S. Century Bank,FL-23
2483,ORGANIZATION,PPP_LOANS,12860,"e $150,000-350,000",LC ELECTRIC,4133 Wagon Trail Avenue,LAS VEGAS,NV,89118,238210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12.0,04/15/2020,"Zions Bank, A Division of",NV-03
2254,ORGANIZATION,PPP_LOANS,12329,"e $150,000-350,000",HIGH CLASS PERSONAL CARE LLC,"5000 W. Oakey Blvd., Suite E-1",LAS VEGAS,NV,89146,623311.0,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,168.0,04/30/2020,Idaho First Bank,NV-01
3262,ORGANIZATION,PPP_LOANS,16173,"e $150,000-350,000","THE SOUND OF KNOWLEDGE, INC.",3137 W Tompkins Ave,LAS VEGAS,NV,89103,512290.0,Corporation,White,Male Owned,Non-Veteran,,11.0,04/05/2020,"Bank of Southern California, National Association",NV-01
790,ORGANIZATION,PPP_LOANS,8736,"d $350,000-1 million",FOWLER ELECTRIC LTD,6675 W PEBBLE RD,LAS VEGAS,NV,89139,238210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10.0,05/04/2020,"JPMorgan Chase Bank, National Association",NV-03
927,ORGANIZATION,PPP_LOANS,9375,"d $350,000-1 million",JIM L SHETAKIS DISTRIBUTING CO,3840 N. CIVIC CENTER DR,North Las Vegas,NV,89030,424490.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,65.0,04/13/2020,Axos Bank,NV-01
601,ORGANIZATION,PPP_LOANS,8191,"d $350,000-1 million",CARDROOM TECH LLC,32 MORNING LN,LAS VEGAS,NV,89135,541611.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,121.0,08/07/2020,"U.S. Bank, National Association",NV-03
1538,ORGANIZATION,PPP_LOANS,10848,"e $150,000-350,000",ADVANCED HOME SERVICES LLC,3111 S VALLEY VIEW BLVD STE S101,LAS VEGAS,NV,89102,238220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25.0,05/03/2020,"Bank of America, National Association",NV-01
1094,ORGANIZATION,PPP_LOANS,9797,"d $350,000-1 million",NEVADA PIPELINE &AMP; GRADING CORPORATION,4825 E Carey Avenue,Las Vegas,NV,89115,237310.0,Corporation,Unanswered,Male Owned,Non-Veteran,,21.0,05/03/2020,"Zions Bank, A Division of",NV-01
3466,ORGANIZATION,PPP_LOANS,16665,"e $150,000-350,000",ZOE SECURITY CORP,546 N. EASTERN AVE #150,LAS VEGAS,NV,89101,561612.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35.0,04/15/2020,"Zions Bank, A Division of",NV-01
2933,ORGANIZATION,PPP_LOANS,15501,"e $150,000-350,000","RED CAP ACOUSTICS, INC",OQUENDO RD 5880 W Oquendo Rd,LAS VEGAS,NV,89118,238990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12.0,08/03/2020,"Newtek Small Business Finance, Inc.",NV-03
2561,ORGANIZATION,PPP_LOANS,12976,"e $150,000-350,000","MALCO NEVADA, INC.",5985 MC LEOD DRIVE AT RUNWAY PARK,LAS VEGAS,NV,89120,561790.0,Corporation,Unanswered,Unanswered,Unanswered,,29.0,04/15/2020,Pacific Western Bank,NV-03
229,ORGANIZATION,PPP_LOANS,7640,c $1-2 million,"CARBON BLOCK TECHNOLOGY, INC.",7251 Cathedral Rock Dr.,LAS VEGAS,NV,89128,333318.0,Corporation,Unanswered,Male Owned,Unanswered,,146.0,04/14/2020,"Washington Federal Bank, National Association",NV-01
203,ORGANIZATION,PPP_LOANS,7575,c $1-2 million,"ADVANCED IMAGING SOLUTIONS, INC.",3865 W. Cheyenne Ave Suite 505 0.0,North Las Vegas,NV,89032,423420.0,Corporation,Unanswered,Unanswered,Unanswered,,90.0,04/10/2020,"JPMorgan Chase Bank, National Association",NV-04
1874,ORGANIZATION,PPP_LOANS,11545,"e $150,000-350,000","CONWAY, STUART & WOODBURY",4021 MEADOWS LN STE A,LAS VEGAS,NV,89107,541211.0,Limited Liability Partnership,Unanswered,Male Owned,Non-Veteran,,16.0,04/27/2020,Western Alliance Bank,NV-01
376,ORGANIZATION,PPP_LOANS,7794,c $1-2 million,RED DEER IRONWORKS USA INC,1935 Village Center Cir,LAS VEGAS,NV,89134,339999.0,Corporation,Unanswered,Unanswered,Unanswered,,104.0,04/30/2020,"Bank of America, National Association",NV-04
3337,ORGANIZATION,PPP_LOANS,16364,"e $150,000-350,000",UNIVERSITY UNITED METHODIST CHURCH,4412 S MARYLAND PKWY,LAS VEGAS,NV,89119,813110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,25.0,04/28/2020,Western Alliance Bank,NV-01
1027,ORGANIZATION,PPP_LOANS,9549,"d $350,000-1 million",MARIANA'S ENTERPRISES,574 N Eastern Ave.,LAS VEGAS,NV,89101,445110.0,Corporation,Hispanic,Male Owned,Non-Veteran,,178.0,04/15/2020,"Zions Bank, A Division of",NV-01
1532,ORGANIZATION,PPP_LOANS,10796,"e $150,000-350,000","ADDISON, INC.",1519 HELM DR,LAS VEGAS,NV,89119,531120.0,Corporation,Unanswered,Unanswered,Unanswered,,20.0,05/03/2020,"U.S. Bank, National Association",NV-01
2293,ORGANIZATION,PPP_LOANS,12400,"e $150,000-350,000","IDP, LLC",STE B 2972 S RAINBOW BLVD,LAS VEGAS,NV,89146,334515.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32.0,05/03/2020,Cross River Bank,NV-01
2779,ORGANIZATION,PPP_LOANS,15006,"e $150,000-350,000","P.J. BECKER & SONS CONSTRUCTION, L.L.C.",6767 W Tropicana Ave Suite 110,LAS VEGAS,NV,89103,236220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14.0,04/27/2020,West Valley National Bank,NV-01
2984,ORGANIZATION,PPP_LOANS,15598,"e $150,000-350,000",RONALD MCDONALD HOUSE OF CHARITIES OF GREATER LAS VEGAS,2323 Potosi Street,LAS VEGAS,NV,89146,813219.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,19.0,04/06/2020,"Zions Bank, A Division of",NV-01
1977,ORGANIZATION,PPP_LOANS,11835,"e $150,000-350,000",DOZA.CORP,5357 POLIZZE AVE,LAS VEGAS,NV,89141,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20.0,05/03/2020,"Zions Bank, A Division of",NV-03
1374,ORGANIZATION,PPP_LOANS,10463,"d $350,000-1 million",THREE AMIGOS RESTAURANT GROUP LLC,10845 GRIFFITH PEAK DR,LAS VEGAS,NV,89135,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,194.0,04/14/2020,Western Alliance Bank,NV-03
168,ORGANIZATION,PPP_LOANS,7500,b $2-5 million,"SOBEL WESTEX, INC.",2670 South Western Avenue,LAS VEGAS,NV,89109,812331.0,Corporation,Unanswered,Unanswered,Unanswered,,151.0,04/08/2020,City National Bank of Florida,NV-01
393,ORGANIZATION,PPP_LOANS,7811,c $1-2 million,"SGPS, SHOWRIG, INC.",2845 COLEMAN ST,NORTH LAS VEGAS,NV,89032,238990.0,Corporation,Unanswered,Male Owned,Unanswered,,125.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-04
2471,ORGANIZATION,PPP_LOANS,12823,"e $150,000-350,000",LAS VEGAS SHUTTLES CORPORATION,1404 NORTH EASTERN AVENUE,LAS VEGAS,NV,89101,485999.0,Corporation,Unanswered,Male Owned,Unanswered,,46.0,04/30/2020,Greater Nevada CU,NV-01
3373,ORGANIZATION,PPP_LOANS,16448,"e $150,000-350,000",VENSER INC.,"3870 Spring Mountain Road, Suite A",Las Vegas,NV,89102,453998.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,15.0,04/14/2020,"Readycap Lending, LLC",NV-01
2535,ORGANIZATION,PPP_LOANS,12941,"e $150,000-350,000","LUCKY JACK, L.L.C.",4856 JUDSON AVE SUITE 105,LAS VEGAS,NV,89115,722513.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25.0,04/29/2020,Northwest FCU,NV-01
402,ORGANIZATION,PPP_LOANS,7820,c $1-2 million,SOUTHERN NEVADA JOINT MANAGEMENT CULINARY & BARTENDERS TRAIN,710 W Lake Mead Blvd,NORTH LAS VEGAS,NV,89030,624310.0,Trust,Unanswered,Unanswered,Unanswered,,145.0,04/08/2020,Western Alliance Bank,NV-01
1233,ORGANIZATION,PPP_LOANS,10251,"d $350,000-1 million","RSVP PARTY RENTALS, INC.",4445 VALLEY BLVD S,LAS VEGAS,NV,89103,532299.0,Corporation,Unanswered,Male Owned,Non-Veteran,,66.0,05/03/2020,"U.S. Bank, National Association",NV-01
371,ORGANIZATION,PPP_LOANS,7789,c $1-2 million,"PSSI GLOBAL SERVICES, LLC",4415 Wagon Trail Avenue,LAS VEGAS,NV,89118,517410.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,90.0,04/05/2020,First Bank,NV-03
3381,ORGANIZATION,PPP_LOANS,16458,"e $150,000-350,000","VICTORY MISSIONARY BAPTIST CHURCH, INC.",500 MONROE AVE W,LAS VEGAS,NV,89106,813110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,37.0,05/03/2020,"U.S. Bank, National Association",NV-01
367,ORGANIZATION,PPP_LOANS,7785,c $1-2 million,PRECISION CONCRETE,1640 W BROOKS AVE,NORTH LAS VEGAS,NV,89032,238110.0,Subchapter S Corporation,White,Male Owned,Unanswered,,199.0,04/15/2020,Valley Bank of Nevada,NV-04
2805,ORGANIZATION,PPP_LOANS,15116,"e $150,000-350,000","PAUL DELONG HEAVY HAUL, INC.",4985 LINCOLN RD,NORTH LAS VEGAS,NV,89081,484220.0,Corporation,White,Female Owned,Non-Veteran,,16.0,04/09/2020,Bank of George,NV-04
912,ORGANIZATION,PPP_LOANS,9356,"d $350,000-1 million",J&J CONTRACTING LLC,8775 LINDELL RD STE 100,LAS VEGAS,NV,89139,238990.0,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,65.0,04/30/2020,"Bank of America, National Association",NV-03
742,ORGANIZATION,PPP_LOANS,8383,"d $350,000-1 million",EGLET LAW GROUP,400 7TH ST,LAS VEGAS,NV,89101,541110.0,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,41.0,04/07/2020,Western Alliance Bank,NV-01
411,ORGANIZATION,PPP_LOANS,7831,c $1-2 million,STONESCAPE PAVERS LLC,4610 WYNN RD,LAS VEGAS,NV,89103,238990.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,155.0,04/08/2020,Western Alliance Bank,NV-01
1803,ORGANIZATION,PPP_LOANS,11441,"e $150,000-350,000","CASAL INSTITUTE OF NEVADA, LLC",4856 S EASTERN AVE,LAS VEGAS,NV,89119,611511.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,28.0,04/28/2020,Western Alliance Bank,NV-01
3371,ORGANIZATION,PPP_LOANS,16445,"e $150,000-350,000",VELOCITY COLLISION CENTER LLC,8765 Lindell Road #100,LAS VEGAS,NV,89139,811122.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,04/11/2020,"Zions Bank, A Division of",NV-03
1255,ORGANIZATION,PPP_LOANS,10273,"d $350,000-1 million","SERENITY MENTAL HEALTH, LLC",1901 JONES BLVD S,LAS VEGAS,NV,89146,621420.0,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,85.0,05/03/2020,"U.S. Bank, National Association",NV-01
256,ORGANIZATION,PPP_LOANS,7668,c $1-2 million,EVISIONS LLC,5096 Royal Indigo St.,LAS VEGAS,NV,89130,511210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15.0,04/08/2020,Western Alliance Bank,NV-04
1462,ORGANIZATION,PPP_LOANS,10630,"d $350,000-1 million","WWB, INC",2860 E FLAMINGO RD,LAS VEGAS,NV,89121,621610.0,Corporation,Unanswered,Unanswered,Unanswered,,199.0,04/11/2020,Idaho First Bank,NV-01
2698,ORGANIZATION,PPP_LOANS,13364,"e $150,000-350,000",NEVADA OIL SOLUTIONS LLC,4625 POLARIS AVE STE 212,LAS VEGAS,NV,89103,561990.0,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,36.0,04/27/2020,Meramec Valley Bank,NV-01
278,ORGANIZATION,PPP_LOANS,7692,c $1-2 million,GRAND Z CASINO OPERATOR,2026 Montessouri St.,LAS VEGAS,NV,89147,721110.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/27/2020,Lexicon Bank,NV-03
1987,ORGANIZATION,PPP_LOANS,11849,"e $150,000-350,000","DYNAMIC MINDS CONSULTING, INC",9811 W Charleston Blvd Suite 2-780,LAS VEGAS,NV,89117,541512.0,Corporation,Unanswered,Unanswered,Unanswered,,11.0,04/16/2020,Bank of the West,NV-03
1721,ORGANIZATION,PPP_LOANS,11297,"e $150,000-350,000",BLIND CENTER OF NEVADA INC,1001 N Bruce St,LAS VEGAS,NV,89101,624120.0,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,48.0,04/07/2020,"Zions Bank, A Division of",NV-01
554,ORGANIZATION,PPP_LOANS,8134,"d $350,000-1 million",BENTAR INCORPORATED,7641 W. POST RD,LAS VEGAS,NV,89113,236220.0,Corporation,Unanswered,Unanswered,Unanswered,,29.0,04/27/2020,Bank of George,NV-03
214,ORGANIZATION,PPP_LOANS,7588,c $1-2 million,BEST FLOORS LTD,1621 SUNSET RD,LAS VEGAS,NV,89119,444190.0,Corporation,Unanswered,Unanswered,Unanswered,,76.0,04/10/2020,First Savings Bank,NV-01
2614,ORGANIZATION,PPP_LOANS,13048,"e $150,000-350,000",MICHAEL THELIN PRODUCTIONS INC,601 S RANCHO DRIVE D-32,LAS VEGAS,NV,89106,611430.0,Corporation,Unanswered,Unanswered,Unanswered,,0.0,06/29/2020,"Wells Fargo Bank, National Association",NV-01
3128,ORGANIZATION,PPP_LOANS,15818,"e $150,000-350,000",SOUTHPOINT SUSHI INC. DBA ZENSHIN ASIAN RESTAURANT,9777 LAS VEGAS BLVD S,LAS VEGAS,NV,89183,722511.0,Corporation,Unanswered,Male Owned,Non-Veteran,,0.0,04/16/2020,"JPMorgan Chase Bank, National Association",NV-03
2252,ORGANIZATION,PPP_LOANS,12327,"e $150,000-350,000",HI-CON INC,4530 S DECATUR BLVD STE 200,LAS VEGAS,NV,89103,236116.0,Corporation,Unanswered,Unanswered,Unanswered,,11.0,05/03/2020,"Bank of America, National Association",NV-01
2131,ORGANIZATION,PPP_LOANS,12059,"e $150,000-350,000",G DALLAS HORTON AND ASSOCIATES,4435 S Eastern Ave,LAS VEGAS,NV,89119,541110.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15.0,04/09/2020,Western Alliance Bank,NV-01
2545,ORGANIZATION,PPP_LOANS,12960,"e $150,000-350,000",LV YAKINIKU INC.,3550 S. DECATUR BLVD,LAS VEGAS,NV,89103,722511.0,Corporation,Asian,Male Owned,Non-Veteran,,32.0,04/27/2020,East West Bank,NV-01
2671,ORGANIZATION,PPP_LOANS,13154,"e $150,000-350,000",NATIONAL INVESTMENT GROUP CORPORATION,5588 South Fort Apache Road Suite 130,LAS VEGAS,NV,89148,451120.0,Corporation,Unanswered,Unanswered,Unanswered,,8.0,06/04/2020,Axos Bank,NV-03
3109,ORGANIZATION,PPP_LOANS,15769,"e $150,000-350,000",SNAP AIR CONDITIONING AND PLUMBING LLC,2545 S TORREY PINES DR,LAS VEGAS,NV,89146,238220.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",NV-01
1650,ORGANIZATION,PPP_LOANS,11168,"e $150,000-350,000",AUTO MART LLC,6049 Boulder Hwy,LAS VEGAS,NV,89122,441120.0,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,,18.0,04/12/2020,Seacoast Commerce Bank,NV-03
1334,ORGANIZATION,PPP_LOANS,10407,"d $350,000-1 million",SYNERGY FRAMING LLC,8960 W TROPICANA AVE STE 700,LAS VEGAS,NV,89147,238130.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30.0,04/27/2020,America First FCU,NV-03
2414,ORGANIZATION,PPP_LOANS,12635,"e $150,000-350,000","KIMCHI LAS VEGAS, INC.",3049 LAS VEGAS BLVD STE 20,LAS VEGAS,NV,89109,722511.0,Corporation,Unanswered,Male Owned,Non-Veteran,,33.0,05/08/2020,Bank of Hope,NV-01
637,ORGANIZATION,PPP_LOANS,8231,"d $350,000-1 million",CLINICAL INFECTIOUS DISEASES SPECIALISTS (ITANI) PC,2435 FIRE MESA ST STE 120,LAS VEGAS,NV,89128,621999.0,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,34.0,04/14/2020,First Security Bank of Nevada,NV-01
3352,ORGANIZATION,PPP_LOANS,16413,"e $150,000-350,000","VALLEY VIEW HOME HEALTH CARE, LLC",89 PRISTINE GLEN ST,LAS VEGAS,NV,89135,621610.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
2110,ORGANIZATION,PPP_LOANS,11999,"e $150,000-350,000","FLYNN GALLAGHER ASSOCIATES, LLC",1980 Festival Plaza Dr,Las Vegas,NV,89135,525990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,05/03/2020,"Newtek Small Business Finance, Inc.",NV-03
2347,ORGANIZATION,PPP_LOANS,12524,"e $150,000-350,000",JANA CRUDER PHOTOGRAPHY,4702 Hackamore Drive,Las Vegas,NV,89103,541990.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,06/23/2020,Celtic Bank Corporation,NV-01
2974,ORGANIZATION,PPP_LOANS,15585,"e $150,000-350,000","ROCKHOUSE TOO, LLC",7120 RAFAEL RIDGE WAY,LAS VEGAS,NV,89119,722511.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,46.0,04/10/2020,City National Bank,NV-01
2430,ORGANIZATION,PPP_LOANS,12733,"e $150,000-350,000",KROWN INVESTMENTS INC,7460 S RAINBOW BLVD STE 130,LAS VEGAS,NV,89139,523910.0,Corporation,Unanswered,Unanswered,Unanswered,,32.0,05/03/2020,"Bank of America, National Association",NV-03
1965,ORGANIZATION,PPP_LOANS,11811,"e $150,000-350,000","DOG BITES BACK, LLC",9500 W. Sahara Avenue,Las Vegas,NV,89117,311811.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,57.0,04/30/2020,"MUFG Union Bank, National Association",NV-03
331,ORGANIZATION,PPP_LOANS,7747,c $1-2 million,MC CARRIER LLC,4725 S Valley View Blvd,LAS VEGAS,NV,89103,484122.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,126.0,04/08/2020,"Zions Bank, A Division of",NV-01
366,ORGANIZATION,PPP_LOANS,7784,c $1-2 million,"PIERCE,ET AL, LTD",6100 Elton Ave Suite 1000,LAS VEGAS,NV,89107,541211.0,Corporation,White,Male Owned,Non-Veteran,,74.0,04/07/2020,"Zions Bank, A Division of",NV-01
582,ORGANIZATION,PPP_LOANS,8165,"d $350,000-1 million",BUDGET VAN LINES,9081 W Sahara Ave Ste 100,Las Vegas,NV,89117,488999.0,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,35.0,04/14/2020,First Republic Bank,NV-03
2998,ORGANIZATION,PPP_LOANS,15614,"e $150,000-350,000",RUITER CONSTRUCTION LLC,3355 PALMS CENTER DR,LAS VEGAS,NV,89103,236116.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27.0,05/03/2020,"Bank of America, National Association",NV-01
576,ORGANIZATION,PPP_LOANS,8159,"d $350,000-1 million",BRAZIL GRANITE LLC,3710 W Sunset Rd.,LAS VEGAS,NV,89118,327991.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,45.0,04/28/2020,West Valley National Bank,NV-03
1606,ORGANIZATION,PPP_LOANS,10951,"e $150,000-350,000","ANTHONY'S GLASS, INC.",3955 W SUNSET RD STE 105,LAS VEGAS,NV,89118,238150.0,Corporation,Unanswered,Unanswered,Unanswered,,16.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
2688,ORGANIZATION,PPP_LOANS,13351,"e $150,000-350,000",NEVADA CAREER EDUCATION,5150 South Decatur Boulevard,Las Vegas,NV,89118,611310.0,Corporation,Unanswered,Unanswered,Unanswered,,36.0,04/27/2020,American Express National Bank,NV-03
76,ORGANIZATION,PPP_LOANS,7213,a $5-10 million,"ROMAN CATHOLIC BISHOP OF LAS VEGAS AND HIS SUCCESSORS, A COR",336 Cathedral Way,LAS VEGAS,NV,89109,813110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500.0,04/14/2020,"Zions Bank, A Division of",NV-01
859,ORGANIZATION,PPP_LOANS,8911,"d $350,000-1 million","HERRICK &AMP; O'HERRON, INC.",2313 MENDENHALL DR,North Las Vegas,NV,89081,238130.0,,Unanswered,Male Owned,Non-Veteran,,31.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-04
1860,ORGANIZATION,PPP_LOANS,11528,"e $150,000-350,000",COMMUNITY ACTION AGAINST RAPE,801 S. RANCHO DR Suite C3,LAS VEGAS,NV,89106,624230.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,26.0,04/28/2020,City National Bank,NV-01
3298,ORGANIZATION,PPP_LOANS,16271,"e $150,000-350,000",TRIDENT CONSTRUCTION CORP,1860 Pama Lane Suite 100,Las Vegas,NV,89119,236220.0,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,26.0,04/28/2020,"Zions Bank, A Division of",NV-01
3255,ORGANIZATION,PPP_LOANS,16144,"e $150,000-350,000",THE MODERN VEGAN LLC,2241 Geronimo Way,Las Vegas,NV,89169,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,06/01/2020,Celtic Bank Corporation,NV-01
1945,ORGANIZATION,PPP_LOANS,11789,"e $150,000-350,000",DESERT PRODUCE SALES LLC,6265 S VALLEY VIEW BLVD STE I,LAS VEGAS,NV,89118,424480.0,Corporation,Unanswered,Male Owned,Non-Veteran,,42.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
1037,ORGANIZATION,PPP_LOANS,9564,"d $350,000-1 million",MAVERICK KIRKLAND,2026 Montessouri St.,LAS VEGAS,NV,89147,713210.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,59.0,04/27/2020,Lexicon Bank,NV-03
3365,ORGANIZATION,PPP_LOANS,16436,"e $150,000-350,000",VEGAS STYLISTS LLC,129 S ROYAL ASCOT DR,LAS VEGAS,NV,89144,812112.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,44.0,04/30/2020,Idaho First Bank,NV-03
3437,ORGANIZATION,PPP_LOANS,16601,"e $150,000-350,000","WORK ZONE TRAFFIC SERVICES, INC.",7250 S. Durango Dr. Suite 130-136,Las Vegas,NV,89113,561990.0,Corporation,Unanswered,Unanswered,Unanswered,,21.0,05/07/2020,Customers Bank,NV-03
1572,ORGANIZATION,PPP_LOANS,10911,"e $150,000-350,000","ALL IN 10-10, INC",5981 McLeod Dr,LAS VEGAS,NV,89120,812320.0,Corporation,Unanswered,Male Owned,Non-Veteran,,33.0,04/10/2020,"Zions Bank, A Division of",NV-03
1623,ORGANIZATION,PPP_LOANS,10988,"e $150,000-350,000",ARENA CORPORATION,4420 S ARVILLE #8,LAS VEGAS,NV,89103,722511.0,Corporation,White,Male Owned,Non-Veteran,,66.0,04/14/2020,"Zions Bank, A Division of",NV-01
693,ORGANIZATION,PPP_LOANS,8323,"d $350,000-1 million","DESERT SPRINGS POOLS AND SPAS, INC",8130 S. Valley View Blvd.,LAS VEGAS,NV,89139,238990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,36.0,04/15/2020,"Zions Bank, A Division of",NV-03
478,ORGANIZATION,PPP_LOANS,7898,"d $350,000-1 million","ABSOLUTE METALS, LLC",4145 SOBB AVE.,LAS VEGAS,NV,89118,332323.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15.0,04/28/2020,Western Alliance Bank,NV-03
1953,ORGANIZATION,PPP_LOANS,11798,"e $150,000-350,000",DEUX WHOPS LLC,4145 GRAND CANYON DR #109,LAS VEGAS,NV,89147,722511.0,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,42.0,04/05/2020,First Savings Bank,NV-03
